"","athlete","team","avg_pts","exp_pts","n","event_id","task"
"30922","LEE Ki-Bok","Korea","3.0000","3.1712","1",115,"GUARD"
"30923","Jay MERCHANT","Australia","4.0000","3.2458","1",115,"GUARD"
"30924","Tsuyoshi YAMAGUCHI","Japan","3.3000","3.4757","30",115,"CLEARING"
"30925","Tetsuro SHIMIZU","Japan","3.5556","3.5908","18",115,"CLEARING"
"30926","OH Eun-Su","Korea","3.5333","3.4823","15",115,"CLEARING"
"30927","XU Jingtao","China","3.7273","3.4735","11",115,"CLEARING"
"30928","SEONG Se-Hyeon","Korea","3.6364","3.6097","11",115,"CLEARING"
"30929","ZOU Qiang","China","3.7500","3.557","4",115,"CLEARING"
"30930","KIM Chang-Min","Korea","3.7500","3.647","4",115,"CLEARING"
"30931","ZOU Dejia","China","4.0000","3.6384","3",115,"CLEARING"
"30932","Sean BECKER","New Zealand","4.0000","3.6391","3",115,"CLEARING"
"30933","Jay MERCHANT","Australia","2.0000","3.4735","2",115,"CLEARING"
"30934","KIM Min-Chan","Korea","1.0000","3.4128","2",115,"CLEARING"
"30935","Brett SARGON","New Zealand","4.0000","3.497","1",115,"CLEARING"
"30936","KIM Chang-Min","Korea","2.8000","2.7663","10",115,"DOUBLE"
"30937","SEONG Se-Hyeon","Korea","3.1429","2.8581","7",115,"DOUBLE"
"30938","ZOU Qiang","China","2.7500","2.9122","4",115,"DOUBLE"
"30939","Sean BECKER","New Zealand","2.6667","2.7496","3",115,"DOUBLE"
"30940","Tsuyoshi YAMAGUCHI","Japan","3.0000","2.9351","3",115,"DOUBLE"
"30941","ZOU Dejia","China","2.0000","2.8542","3",115,"DOUBLE"
"30942","OH Eun-Su","Korea","4.0000","2.8424","3",115,"DOUBLE"
"30943","Yusuke MOROZUMI","Japan","4.0000","2.731","3",115,"DOUBLE"
"30944","Tetsuro SHIMIZU","Japan","3.0000","2.8642","3",115,"DOUBLE"
"30945","Jay MERCHANT","Australia","2.0000","2.849","2",115,"DOUBLE"
"30946","Anton HOOD","New Zealand","3.0000","2.8568","1",115,"DOUBLE"
"30947","Dean HEWITT","Australia","4.0000","2.8111","1",115,"DOUBLE"
"30948","SHAO Zhilin","China","2.0000","2.7297","1",115,"DOUBLE"
"30949","Brett SARGON","New Zealand","0.0000","2.8313","1",115,"DOUBLE"
"30950","LEE Ki-Bok","Korea","2.0000","2.861","1",115,"DOUBLE"
"30951","Tsuyoshi YAMAGUCHI","Japan","2.8000","2.7118","5",115,"RAISE"
"30952","Brett SARGON","New Zealand","3.7500","2.8004","4",115,"RAISE"
"30953","ZOU Qiang","China","3.7500","2.7762","4",115,"RAISE"
"30954","Yusuke MOROZUMI","Japan","2.0000","2.4582","4",115,"RAISE"
"30955","Sean BECKER","New Zealand","1.6667","2.376","3",115,"RAISE"
"30956","Warren DOBSON","New Zealand","3.3333","2.7344","3",115,"RAISE"
"30957","XU Jingtao","China","0.0000","2.7137","3",115,"RAISE"
"30958","OH Eun-Su","Korea","2.3333","2.7789","3",115,"RAISE"
"30959","Kosuke MOROZUMI","Japan","4.0000","2.8715","2",115,"RAISE"
"30960","SEONG Se-Hyeon","Korea","2.0000","2.7053","2",115,"RAISE"
"30961","Anton HOOD","New Zealand","3.0000","2.8763","1",115,"RAISE"
"30962","LEE Ki-Bok","Korea","1.0000","2.7423","1",115,"RAISE"
"30963","Tetsuro SHIMIZU","Japan","0.0000","2.6277","1",115,"RAISE"
"30964","KIM Chang-Min","Korea","0.0000","1.9963","1",115,"RAISE"
"30965","SEONG Se-Hyeon","Korea","3.5000","2.6153","2",115,"FREEZE"
"30966","SHAO Zhilin","China","3.0000","3.2664","2",115,"FREEZE"
"30967","ZOU Dejia","China","3.5000","2.8215","2",115,"FREEZE"
"30968","Tsuyoshi YAMAGUCHI","Japan","4.0000","2.8234","1",115,"FREEZE"
"30969","LEE Ki-Bok","Korea","0.0000","2.6134","1",115,"FREEZE"
"30970","KIM Min-Chan","Korea","1.0000","2.6421","1",115,"FREEZE"
"30971","LEE Ki-Bok","Korea","2.0000","2.2152","2",115,"WICK"
"30972","Shane Robinson","NO (Horgan)","3.2192","3.1249","73",145,"DRAW"
"30973","Thomas Mosher","NS (Abraham)","3.3099","3.0757","71",145,"DRAW"
"30974","Scott Gray","BC (Tardi)","3.2609","2.9946","69",145,"DRAW"
"30975","Matthieu Taillon","SK (Kleiter)","3.3385","3.0681","65",145,"DRAW"
"30976","Ryan Mitchell","ON (Enman)","3.1094","3.0837","64",145,"DRAW"
"30977","Alex Phillips","NL (Lawrence)","2.7115","2.9958","52",145,"DRAW"
"30978","Logan Waddell","NT (Lee)","1.7800","2.5517","50",145,"DRAW"
"30979","Lucius Lee","NT (Lee)","1.5918","2.5385","49",145,"DRAW"
"30980","Matthew Magee","NB (Marin)","3.1458","2.9311","48",145,"DRAW"
"30981","Kyle Rogers","NT (Lee)","1.9574","2.7725","47",145,"DRAW"
"30982","Tyler McWillie","AB (Libbus)","2.5435","2.9284","46",145,"DRAW"
"30983","Andrew Lawrence","NL (Lawrence)","3.0000","2.6603","46",145,"DRAW"
"30984","Nicholas Johnston","PE (DeWolfe)","2.4348","2.9923","46",145,"DRAW"
"30985","Rylan Kleiter","SK (Kleiter)","2.9783","2.7225","46",145,"DRAW"
"30986","Hazen Enman","ON (Enman)","2.5349","2.7052","43",145,"DRAW"
"30987","Ryan Abraham","NS (Abraham)","3.1395","2.6553","43",145,"DRAW"
"30988","Liam Tod","MB (Walter)","3.3953","3.0452","43",145,"DRAW"
"30989","Donald DeWolfe","PE (DeWolfe)","2.6829","2.6371","41",145,"DRAW"
"30990","Coleton Vriesendorp","NL (Lawrence)","2.5122","2.7228","41",145,"DRAW"
"30991","Greg Cheal","QC (Cheal)","2.3250","2.6455","40",145,"DRAW"
"30992","Donovan Lanteigne","NB (Marin)","2.8205","2.6096","39",145,"DRAW"
"30993","Liam Marin","NB (Marin)","3.1316","2.7285","38",145,"DRAW"
"30994","Simon-Olivier Hebert","QC (Cheal)","2.7027","2.7051","37",145,"DRAW"
"30995","Zachary Griffiths-Julien","QC (Cheal)","1.5946","2.589","37",145,"DRAW"
"30996","James Trahan","QC (Cheal)","2.9189","2.9241","37",145,"DRAW"
"30997","Adam Naugler","NT (Lee)","2.0556","2.6814","36",145,"DRAW"
"30998","Jacob Horgan","NO (Horgan)","3.2353","2.6954","34",145,"DRAW"
"30999","Sterling Middleton","BC (Tardi)","2.7941","2.7099","34",145,"DRAW"
"31000","Jake Flemming","NS (Abraham)","2.6471","2.6409","34",145,"DRAW"
"31001","Derek Chandler","BC (Tardi)","2.9118","2.6481","34",145,"DRAW"
"31002","Tyler Tardi","BC (Tardi)","2.7879","2.7698","33",145,"DRAW"
"31003","Trevor Johnson","SK (Kleiter)","3.2121","2.7397","33",145,"DRAW"
"31004","Jacob Libbus","AB (Libbus)","2.7188","2.6774","32",145,"DRAW"
"31005","Nicholas Bissonnette","NO (Horgan)","2.6333","2.672","30",145,"DRAW"
"31006","Mitchell Cortello","NS (Abraham)","2.6000","2.6991","30",145,"DRAW"
"31007","Riley Helston","AB (Libbus)","2.8000","2.7656","30",145,"DRAW"
"31008","Brett Walter","MB (Walter)","2.7586","2.7255","29",145,"DRAW"
"31009","Zachary Wasylik","MB (Walter)","3.0000","2.6672","29",145,"DRAW"
"31010","Jacob Wilkins","PE (DeWolfe)","2.3448","2.7062","29",145,"DRAW"
"31011","Scott Mitchell","ON (Enman)","2.4828","2.5949","29",145,"DRAW"
"31012","Pacen Anderson","AB (Libbus)","2.0000","2.6423","28",145,"DRAW"
"31013","James Trickett","NL (Lawrence)","3.2500","2.6498","28",145,"DRAW"
"31014","Adam Tracy","NB (Marin)","2.8889","2.7036","27",145,"DRAW"
"31015","Jordan Peters","MB (Walter)","2.9630","2.7036","27",145,"DRAW"
"31016","Maxwel Cull","NO (Horgan)","2.3077","2.7309","26",145,"DRAW"
"31017","Daniel Van Veghel","ON (Enman)","2.9130","2.6925","23",145,"DRAW"
"31018","Joshua Mattern","SK (Kleiter)","3.0000","2.6538","19",145,"DRAW"
"31019","Alexander Gallant","PE (DeWolfe)","2.5294","2.6253","17",145,"DRAW"
"31020","UNKNOWN","NT (Lee)","2.0000","2.6058","4",145,"DRAW"
"31021","Tyler Tardi","BC (Tardi)","3.1194","2.9501","67",145,"TAKE-OUT"
"31022","Sterling Middleton","BC (Tardi)","3.1642","3.0079","67",145,"TAKE-OUT"
"31023","Jacob Horgan","NO (Horgan)","3.0635","2.9825","63",145,"TAKE-OUT"
"31024","Riley Helston","AB (Libbus)","3.0727","3.023","55",145,"TAKE-OUT"
"31025","Pacen Anderson","AB (Libbus)","2.8889","2.9605","54",145,"TAKE-OUT"
"31026","Derek Chandler","BC (Tardi)","3.0926","2.9461","54",145,"TAKE-OUT"
"31027","Ryan Abraham","NS (Abraham)","2.8519","2.9464","54",145,"TAKE-OUT"
"31028","Mitchell Cortello","NS (Abraham)","3.0000","3.0279","53",145,"TAKE-OUT"
"31029","Joshua Mattern","SK (Kleiter)","3.1538","2.9345","52",145,"TAKE-OUT"
"31030","Daniel Van Veghel","ON (Enman)","3.1346","3.0219","52",145,"TAKE-OUT"
"31031","Maxwel Cull","NO (Horgan)","3.1200","2.9811","50",145,"TAKE-OUT"
"31032","Rylan Kleiter","SK (Kleiter)","2.8958","2.9816","48",145,"TAKE-OUT"
"31033","Adam Naugler","NT (Lee)","2.0000","2.9142","48",145,"TAKE-OUT"
"31034","Brett Walter","MB (Walter)","3.1064","2.9753","47",145,"TAKE-OUT"
